PPG GSR SENSOR_TIME COMPUTER_TIME
1632.234432 79026.315789 9879092 1590688756.311882
1627.106227 79026.315789 9879252 1590688756.311882
1622.710623 79026.315789 9879412 1590688756.312880
1616.117216 79026.315789 9879572 1590688756.313877
1606.593407 76347.457627 9879732 1590688756.314875
1597.802198 76347.457627 9879892 1590688756.314875
1590.476190 76347.457627 9880052 1590688756.325845
1580.952381 76347.457627 9880212 1590688756.325845
1572.161172 76347.457627 9880372 1590688756.333850
1564.102564 76347.457627 9880532 1590688756.333850
1556.043956 79026.315789 9880692 1590688756.344794
1549.450549 76347.457627 9880852 1590688756.344794
1547.252747 76347.457627 9881012 1590688756.350779
1545.054945 76347.457627 9881172 1590688756.350779
1542.857143 76347.457627 9881332 1590688756.359754
1538.461538 79026.315789 9881492 1590688756.359754
1538.461538 79026.315789 9881652 1590688756.378704
1534.798535 76347.457627 9881812 1590688756.378704
1532.600733 79026.315789 9881972 1590688756.384688
